index,이름,나이,몸무게,급여
0,김민재,27.0,75.0,5428000.0
1,이강인,22.0,57.0,3428000.0
2,박찬호,50.0,91.0,8428000.0
3,차범근,70.0,80.0,4428000.0
4,추신수,43.0,100.0,4528000.0
5,손흥민,31.0,72.0,7028000.0
6,황희찬,28.0,69.0,2528000.0
7,김연아,36.0,48.0,
8,류현진,39.0,98.0,6500000.0
9,박지성,,73.0,4800000.0
10,이강인,22.0,57.0,3428000.0
11,손흥민,31.0,,7028000.0
12,김민재,27.0,75.0,5428000.0
13,류현진,39.0,98.0,
14,박찬호,50.0,91.0,8428000.0
15,김연아,36.0,48.0,3200000.0
16,황희찬,,69.0,2528000.0
17,추신수,43.0,100.0,4528000.0
18,차범근,70.0,,4428000.0
19,손흥민,31.0,72.0,7028000.0
